Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948029801,0.949902999,0.916857275,0.926412447,0.933582208,0.893887215,0.848439431,0.806803249,0.751700806,0.73848646,0.704419806,0.659545214,0.628804916,0.578542262,0.545723769,0.503134006,0.477739206,0.439294488,0.414103535,0.402075687,0.390275187,0.376486018,0.361674262,0.37102151,0.3526683,0.353028811,0.341671415,0.345268514,0.355778828,0.358344249,0.380099238,0.37047365,
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,0.030342649,0.030216806,0.027840601,0.060200852,0.054364081,0.028678735,0.023913433,0.020972662,0.010319313,0.010416192,0.011018262,0.009629949,0.014540127,0.010672933,0.010900901,0.00864089,0.004930588,0.003818052,0.016274708,0.019815936,0.008990601,0.006500696,0.007418169,0.004333423,0.010368983,0.006487721,0.008375747,0.003344108,0.006549812,0.003853419,0.003167003,0.002616496,0.001873635,0.001054945,0.004294776,0.009472792,0.013314026,0.013910353,0.021024335,0.012942048,0.016187511,0.014853613,0.014466768,0.008509918,0.004217969,0.00298928,0.002962597,0.003445766,0.002595099,0.002367905,0.001514853,0.002984287,
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,5.2305256,5.2305256,5.2305256,5.2305256,5.2305256,5.2305256,5.2305256,5.2305256,5.2305256,4.8,4.2,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.9462608,4.6,5.2,5.8,5.3,5,4.4,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,4.4671956,
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.926534602,4.695995657,6.383017232,4.849209755,5.245164126,7.088482725,6.054336618,9.474614935,8.56122428,7.802398018,7.207482667,8.062467347,4.920407868,6.239125541,6.545596373,4.658056186,2.458353549,4.035732258,3.255211415,2.824047988,-3.905412055,3.196164867,4.28187976
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10074.09901,10438.8085,10067.12046,10126.62289,9975.92906,9306.262076,9254.544654,9099.063695,9670.692068,9815.018726,10137.8241,10446.52394,10928.33877,11333.56547,11429.2809,12635.97659,13007.04928,12817.22024,13085.55096,13298.83188,13342.0768,,,
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,,,,,,,,3.797468354,4.408060453,5.075593952,6.001188354,4.384193828,4.912367317,5.170609169,5.084374315,5.177865613,5.462568472,5.261755695,5.76980568,6.095755183,6.229883413,6.468904185,6.564869079,7.914730068,,,,,,,,,,,,,,,,,,,,,,,,2.938604709,2.51489666,,,0.281162004,0.288621154,0.327455293,0.312946989,0.602555181,0.602555181,0.602555181,,,,,
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29472E+12,6.55178E+12,6.55267E+12,6.88361E+12,7.37395E+12,7.63825E+12,8.09626E+12,8.05312E+12,8.10041E+12,8.05209E+12,7.70349E+12,7.78075E+12,7.71573E+12,7.67706E+12,7.47464E+12,7.5863E+12,7.72732E+12,8.21078E+12,8.29982E+12,8.19757E+12,8.10399E+12,7.54599E+12,8.09978E+12,8.20691E+12
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21518170604,29220250835,26933451200,27415623874,33920483856,43944846421,58362602002,68026278498,76513759085,98899010263,64418064582,80551143621,98286729819,99012823300,92091046311,89672550858,58727925741,54809940588,61797004221,67874968849,63284246625,47395106991,63660742579,89504575778
"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39406356985,40785914777,40331202865,41990298457,45106067757,46423417905,48855969896,47653156035,47369130688,46224032527,43131523214,42456546629,41382402265,40264941961,38226991907,38162074671,38462527393,41123984100,40705255045,38831487124,37479553115,34087747809,37175320833,37282918949
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,,,
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,14.6,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1,12.5,11.8,11.3,,,
Time required to register property (days),IC.PRP.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,74,74,74,55,55,55,55,55,55,55,55,55,55,55,,,
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7273,248.7273,248.7273,248.7273,96,96,,,
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,,,,,
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,,,,,,,
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.8889,592.8889,592.8889,592.8889,592.8889,592.8889,,,
Time to obtain an electrical connection (days),IC.ELC.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,,,,,,
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535836101,,,,,,,0.531,0.538729906,,0.541510224,,
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526217997,,,,,,,0.515,0.524997771,,0.527311027,,
Government Effectiveness: Standard Error,GE.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173903719,,0.222487077,,0.238578707,,0.199642837,0.190472022,0.193942979,0.185124144,0.192157716,0.219317064,0.230361164,0.220240235,0.225383639,0.219846964,0.217348948,0.191206276,0.210790902,0.202287629,0.196886912,0.204921484,0.206083715,0.216119185,0.246358693,0.247155651,0.248698205
Government Effectiveness: Number of Sources,GE.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,3,,4,5,6,6,8,8,7,7,7,8,8,9,9,9,9,9,9,8,6,6,6
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goods and services expense (current LCU),GC.XPN.GSRV.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grants and other revenue (current LCU),GC.REV.GOTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.29,,,50.48,,,42.78,,,,44.1,
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.88,,,57.48,,,48.75,,,,51.28,
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09,,,36.97,,,34.97,,,,31.91,
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,,,,,9.461502123,10.95322522,9.18178979,10.73776994,12.8455353,9.810491562,17.69566972,15.66812279,8.018207287,5.891925782,-4.311283677,0.094394119,3.499180073,8.407856451,15.59694523,12.27508443,13.09107678,6.112852617,8.710982961,13.15233207,16.22944675,16.24442066,24.02971527,27.69323459,31.20657953,27.43680567,22.28967244,13.33830707,16.11362305,40.13644951,26.72041556,16.62478623,8.095680911,11.92831489,15.55308193,16.94226233,9.445972537,10.45361822,9.425365179,4.432338325,-3.791683036,-16.60032152,-19.68621739,-27.81738324,-37.05075827,-40.92570719,-34.54931779,-30.55925021,-29.04383963,-28.48360529,-20.3310649,-4.20193674,8.56126998,19.28655053,25.50067461,28.39016504,42.14724139,51.159275,40.87999336
Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41666667,19,15.70833333,11.5,10.75,10,9.5,8.583333333,8.125,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,2.569024534,2.738580153,2.81051284,2.913273821,3.093105538,3.23846951,3.505005805,3.835553629,4.29540902,5.048133208,5.621025679,6.156025038,7.05818082,7.51996298,7.968691499,8.615462213,9.518559692,10.6961587,11.49208777,12.17144771,13.30392317,15.51936355,19.53676605,25.72399381,31.00778603,40.01482109,51.93108535,61.63133217,65.16497863,68.3907504,70.20003532,70.438128,73.41483508,74.4560791,77.63457483,80.71030165,81.82607845,83.71748758,86.79745039,91.01458318,96.23614476,100,104.5242115,113.8179305,117.5218381,120.9498642,126.7366464,134.8448702,142.3842032,148.4639947,151.3616678,155.0172502,166.2188945,181.619932
Broad money (current LCU),FM.LBL.BMNY.CN,,,,,4768000000,5287000000,5779000000,7506000000,10160000000,11621000000,13075000000,13925000000,18139000000,20362000000,25770000000,33748000000,43604000000,51951000000,67459000000,79689000000,93539000000,1.09154E+11,1.3789E+11,1.65926E+11,1.94717E+11,2.2386E+11,2.27016E+11,2.57896E+11,2.92965E+11,3.08147E+11,3.43324E+11,4.14745E+11,5.44456E+11,5.84183E+11,6.75928E+11,7.39895E+11,8.4825E+11,1.00314E+12,1.19948E+12,1.36677E+12,1.55991E+12,2.40307E+12,2.83687E+12,3.29946E+12,3.64429E+12,4.07044E+12,4.87007E+12,5.99461E+12,6.95597E+12,7.29269E+12,8.28074E+12,9.92919E+12,1.10151E+13,1.19415E+13,1.36639E+13,1.37045E+13,1.38163E+13,1.49742E+13,1.66367E+13,1.65107E+13,1.774E+13,2.00788E+13,2.29553E+13
Net domestic credit (current LCU),FM.AST.DOMS.CN,,,,,3506000000,4500000000,3711000000,4656000000,6917000000,8827000000,11078000000,12640000000,16902000000,18988000000,20818000000,30759000000,42115000000,50712000000,72584000000,82318000000,1.00099E+11,1.12321E+11,1.47131E+11,1.82799E+11,2.21377E+11,2.4753E+11,2.79558E+11,3.08246E+11,3.4724E+11,3.83639E+11,4.3593E+11,5.03554E+11,5.81214E+11,6.88241E+11,7.04379E+11,8.96577E+11,9.84901E+11,1.07291E+12,1.17138E+12,1.48372E+12,1.16576E+12,1.53304E+12,1.70973E+12,1.64057E+12,1.33142E+12,5.54891E+11,3.10157E+11,-3.40075E+11,-1.40236E+12,-8.92479E+11,-7.94639E+11,-6.58563E+11,-3.42269E+11,5.00028E+11,3.10159E+12,6.68014E+12,9.53071E+12,1.26295E+13,1.5298E+13,1.68277E+13,1.91257E+13,2.12592E+13,2.16051E+13
Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,3.457944896,3.659811308,5.489144579,5.824966528,4.641484533,4.010943736,3.454303504,2.79491572,4.248095896,3.914510759,5.170503741,3.614616948,3.148065719,2.60624874,3.901196469,,,,,,,,,,,,,,22.78943432,30.16300305,35.39503901,32.07382017,33.79143408,36.78194148,34.82381771,34.30739712,32.7812905,28.19225044,25.85690655,22.57925661,19.37160832,15.92693383,14.46657523,15.44145629,13.76476435,16.33769728
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,,,,,10.89569597,10.06198402,8.955243452,13.00910572,20.40668134,29.69315123,27.04118228,33.63755124,46.57222826,48.15845092,41.3999118,49.42020398,53.10002374,49.51919284,53.50188333,51.72569443,48.30215331,52.39602885,62.00000215,64.92383406,66.37219654,68.70133503,69.28413757,67.50695115,68.12303006,63.17410732,56.14321672,46.28916649,7.250906177,6.614150961,6.486691218,5.197980424,5.363813215,3.904611303,4.552411071,5.36983841,5.949052192,7.97752168,12.16527509,11.19086046,10.97281802,11.84703779,12.09701974,12.96875528,12.77688188,16.24510343,15.19077506,13.69820353,14.00878878,16.48387576,18.32767676,21.68202004,22.85565666,24.38576999,24.88441499,25.79097267,29.52939158,25.7972617,21.08763744
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.709646107,8.2268315,7.914140495,8.302211304,8.273874936,7.937628143,9.010556099,9.870975943,9.778615631,9.949519914,9.859813413,10.28854464,,
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085275945,0.085483103,0.085483103,0.085483,0.068023,0.068022594,0.0680226
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,17.78251978,18.67164577,19.56077176,20.44989775,21.33902374,22.22814973,23.11727572,24.00640171,24.8955277,25.78465369,26.67377967,27.56290566,28.45203165,29.34115764,30.23028363,31.11940962,32.8976616,34.67591358,36.45416556,38.23241753,39.44162888,40.50599352,41.57035816,42.63472279,43.69908743,44.76345207,45.82781671,46.89218135,47.95654599,49.02091063,50.08527527,51.63302807,53.73527217,55.30581893,56.87636568,58.44691244,60.0174592,61.58800596,63.15855272,64.72909948,66.29964624,67.87019299,69.35182715,72.77199846,76.19216976,79.61234107,82.0663288,87.15212946,87.15212946,87.15212946,87.15212946,,
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22.7027027,23.33333333,23.90243902,24.41860465,24.88888889,25.57091388,26.21977236,26.83782622,27.42721828,27.98989709,28.52763853,29.04206444,29.53465905,30.00678318,30.45968689,31.40792674,31.96875,32.48745804,32.96862318,33.41617896,33.83352796,34.22362847,34.58906468,34.93210404,35.2547443,35.55875251,35.84569733,34.774007,33.78155571,32.85986856,33.97474444,34.41024661,34.41024661,34.41024661,34.41024661,,
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,25500,30400,21500,16900,17300,18300,20350,21150,18250,23150,24234,23715,28313,31243,35758,37693,35122,43475,34143,38678,48000,56000,64500,65000,65500.9,66000.6,65261.8,94093.8,106437.3,99187.42,90196.24,79702,95273.91,101899.97,135409.86,105878.67,81995.8,91585.4,92337,102399,113159.9,133628,134324.8,140959,113464.2,126260.3,145763.8,147363.13,138862.43,127777,93464,101814.86,105543.4,100973.14,97683.17,95798.9,100004.86,103875.32,115057.99,100553.1,71518.72,79200,
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,7.649750002,7.878583361,8.091984724,8.30509269,8.513569025,8.734121966,8.921186844,9.012519467,9.102609928,9.193125262,9.286277858,9.378671749,9.467187378,9.549514492,9.625302288,9.581478607,9.432371691,9.289209552,9.082596513,8.870125421,8.652592418,8.430850612,8.207970602,7.986530002,7.768900224,7.555876646,7.353668098,7.203924888,7.141062223,7.086556596,7.042333994,7.0060521,6.974382637,6.948290119,6.931659033,6.928198876,6.9356439,6.948442278,6.972765746,6.964279377,6.955656741,6.948633192,6.943617735,6.938233459,6.92929902,6.923122437,6.911743594,6.887508579,6.857917212,6.822279452,6.782685374,6.740646726,6.69587306,6.649829926,6.603286652,6.555698617,6.508878717,6.464745484,6.424360317,6.391058379,6.369516419,6.358730525,6.355799611
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,30.8,,28.88661,,24.98121,,21.07581,,17.17042,,13.26502,,
Population density (people per sq. km of land area),EN.POP.DNST,,4.869804429,4.945233317,5.025506982,5.113530024,5.198407887,5.295871506,5.414997019,5.538377405,5.664352952,5.792368185,5.924354044,6.062688623,6.208263287,6.362408155,6.602186637,6.927924962,7.193980871,7.403261901,7.627608807,7.867936047,8.124882229,8.397262506,8.68361408,8.982311251,9.29274606,9.607494101,9.902886545,10.17870045,10.45013603,10.71404687,10.97261036,11.23057219,11.4850181,11.72966235,11.95681393,12.1695206,12.37583909,12.56420432,12.74114009,12.92106653,13.10008019,13.27797996,13.45901862,13.64976278,13.83723244,14.0380898,14.26848732,14.51442727,14.77744716,15.05468439,15.34321169,15.64426134,15.95498501,16.27388716,16.60262556,16.93690834,17.27162861,17.6035123,17.93031568,18.24365706,18.54860331,
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,,,,,,,,,,,,30.96623981,27.38589212,27.1155596,27.47068677,26.93726937,25.84692597,25.62076749,24.11710037,21.02335929,22.39451857,21.11491747,18.57666143,18.17312291,20,29.50546838,26.50169205,26.86757216,25.64102564,26.10539067,30.88350274,30.85359167,30.57881325,29.92237121,28.42490842,27.31381056,27.25947522,26.81314755,26.88228134,27.03989493,27.38656692,27.04761905,28.4015852,30.22512507,30.0204499,31.18140736,31.73541434,32.51620507,33.13280363,32.3164919,33.10013574,31.96552737,32.55624831,32.83280646,35.28024079,,,,,,,,
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,,,,,,,,,,,,16.88009313,17.63485477,18.56232939,18.25795645,17.41697417,19.38519448,17.26862302,16.86802974,15.68409344,15.90335377,14.94861414,13.42229199,14.13199426,16.2254902,11.38849263,11.63282572,12.54244482,11.95235211,13.64829396,12.88115715,13.78175836,14.1609028,14.52011291,14.96336996,14.62400578,15.14212828,14.2550911,15.0060859,14.92365786,15.15693609,15.11111111,14.51636577,14.84157865,15.69188821,16.1394448,15.0997151,16.02828521,15.40295119,14.2675564,13.81434687,14.29830575,15.17122978,15.78854935,15.17937037,,,,,,,,
"Bird species, threatened",EN.BIR.THRD.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,100,100,100,100,100,100,100,,,,,
Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.403566018,0.980363594,3.694936488,-3.552907587,-14.55759818,-17.39089267,-12.37690829,-2.141358816,5.080992891,8.143718681,10.55966671,10.00174805,11.38197762,13.81831954,14.58309055,5.083177951,30.66294721,32.4925708,44.35963174,47.00719613,48.47726809,49.94734005,,,,,,,,,,
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,61.71380295,64.81123041,62.64444815,66.75170674,68.47364382,62.05485126,59.82876668,58.35810942,66.8460665,66.04798859,65.94762615,68.6780917,60.7132987,62.97552541,62.12467218,63.37987391,62.98625827,58.96812892,56.74858939,57.84391342,70.76612903,72.72727273,75.79617834,78.95878525,80.66037736,79.80769231,79.85948478,78.55421687,80.50847458,79.78494624,48.78378378,49.86772487,48.30393487,49.80289093,53.62318841,49.73890339,52.05992509,52.18476904,50.25974026,,,,,,,,,,,,,,
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,,,,,,,,,,,71.57026551,73.98631913,80.86775493,84.69938302,81.76611999,79.22072375,82.81426465,82.78925138,83.2376155,81.91290469,79.79401532,77.06362504,75.26058676,76.68390771,78.25947509,80.84812354,80.49848526,79.90632192,79.68867479,80.11608346,59.35659266,59.53887884,58.74001775,58.24945295,58.4279476,60.07012076,61.37082601,62.5,62.99005266,63.44549125,64.12825651,64.98559078,66.05653383,66.57777778,66.9865643,67.61983131,66.7903525,66.01901612,65.48783025,,,,,,,,,,,,,,
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,60.5,,,,,166.8,,,230.2,,275,,,,,,,,,,,,
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,1752.506738,1217.659887,-258.4950371,-1946.571807,-550.2199072,347.4806055,-834.8969629,-1207.008398,-999.1979492,433.1587402,640.0044922,2383.502832,3489.081543,4000.519922,3228.186523,1840.308789,2847.660156,3510.170703,3893.229004,3964.568359,1764.731445,-3249.449707,-11079.46143,-4170.801758,-3448.310059,-4232.959961,-4794.008789,-2114.080566,-679.8203125,-868.1513672,-2266.819336,-4735.209961,-2802.84082,-5660.780273,-3698.890625,-5192.071289,-4964.05957,-573.2207031,-1151.371094,4114.53125,2490.390625,2416.560547,1332.548828,1138.951172,-947.0605469,-5048.783203,-7720.558594,,,,,,
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353647633,0.365442442,0.353180719,0.380737713,0.383387685,0.375695233,0.352942319,0.335562592,0.316641527,0.314135845,0.305635197,0.28511508,0.278558141,0.272707682,0.258393893,0.248991077,0.251674171,0.243978331,0.24514168,0.249594378,0.242320056,0.24404389,0.271317096,0.279171467,0.291888864,0.327370922,0.328086103,0.324627345,0.326813154,0.329560058,0.324672528,,
CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62936.9,66428.5,66844.6,72219.1,73606.2,76440.2,76123.8,74433.2,74649.1,77505.3,80046.8,78645.5,82404.3,88188.9,89492.7,94187.8,99808.7,102750.2,107745.5,112172.2,114179.4,120784.9,134934.2,139024.1,147735.2,156273,154654.3,157704.4,164534.1,170582.4,161563,,
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960894642
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,,,,,,,,,,,15814000,13215000,10391000,7503000,6423000,36279000,84972000,137635000,187216000,227011000,252522000,274909000,279870000,323309000,284402000,479482000,693242000,924060000,895204000,960141000,1207954000,1412632000,1473697000,1511735000,1708657000,2049331000,1939124000,1795369000,1676442000,1539516000,1424572000,1328544000,1202928000,1056099000,909342000,778821000,118585000,112701000,10536000,9701000,9170000,8328000,7182000,1930000,1519000,1117000,725000,0,,,,,
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,1686000000,1985000000,1933000000,2325000000,2307000000,2751000000,1957000000,1759000000,1862000000,3152090000,1315400000,1620510000,1839700000,791081091.6,1239017165,793953476.5,701869980.8,636564580.9,260758957,327839000,162160000,186010000,195376000,222144000,198664000,107544628.5,145525401.8,430815871.1,516011000,540821000,749690000,1303740000,1492460000,1778220000,1141626000,1205000000,1328000000,1974930000,1823080000,1985910000,2096310000,2319190000,2264370000,1783540000,1596640000,1744180000
